帖子id,post_category,帖子标题,帖子正文,帖子点赞数,帖子评论数,帖子收藏数,帖子转发数,comment_id,user_id,content,comment_time,location,like_count,reply_count,comment_level,parent_comment_id
69e44278000000001a0217bb,"strong,human","机器人超过我的瞬间

","今天参加亦庄半程马拉松，机器人跑的太快了，一会就超过我了，这是第6个超过我的机器人。 今天荣耀闪电突破50分钟完赛，比人快多了

",6019.0,372.0,252,491.0,69e4573a000000001401a417,599fe7ce6a6a6917a03c4e09,您是生命的热烈，它是钢铁的进步[赞R],2026.04.19,北京,3905.0,33,1,
69e44278000000001a0217bb,"strong,human","机器人超过我的瞬间

","今天参加亦庄半程马拉松，机器人跑的太快了，一会就超过我了，这是第6个超过我的机器人。 今天荣耀闪电突破50分钟完赛，比人快多了

",6019.0,372.0,252,491.0,69e47b6f000000001401940b,640eef5400000000290130ae,你去超过它儿子[嘻嘻R],2026.04.19,浙江,1394.0,42,1,
69e44278000000001a0217bb,"strong,human","机器人超过我的瞬间

","今天参加亦庄半程马拉松，机器人跑的太快了，一会就超过我了，这是第6个超过我的机器人。 今天荣耀闪电突破50分钟完赛，比人快多了

",6019.0,372.0,252,491.0,69e5bf73000000001401940a,5af417c911be10381999484b,“机器人超过我了”莫名想哭 感受到了一代一代的托举 是人和人之间 也是人和机器人之间,2026.04.20,江西,93.0,6,1,
69e44278000000001a0217bb,"strong,human","机器人超过我的瞬间

","今天参加亦庄半程马拉松，机器人跑的太快了，一会就超过我了，这是第6个超过我的机器人。 今天荣耀闪电突破50分钟完赛，比人快多了

",6019.0,372.0,252,491.0,69e47886000000001401b01e,5c0e1a530000000006010270,它是在看镜头么[坏笑R],2026.04.19,北京,298.0,7,1,
69e44278000000001a0217bb,"strong,human","机器人超过我的瞬间

","今天参加亦庄半程马拉松，机器人跑的太快了，一会就超过我了，这是第6个超过我的机器人。 今天荣耀闪电突破50分钟完赛，比人快多了

",6019.0,372.0,252,491.0,69e497b1000000001401e034,5c99831d0000000011008856,想想这玩意在战场上端着枪追你，慌不慌,2026.04.19,安徽,2.0,0,1,
69e44278000000001a0217bb,"strong,human","机器人超过我的瞬间

","今天参加亦庄半程马拉松，机器人跑的太快了，一会就超过我了，这是第6个超过我的机器人。 今天荣耀闪电突破50分钟完赛，比人快多了

",6019.0,372.0,252,491.0,69e88206000000001401e421,591622066a6a693a393e7ef2,大哥，看您这个视频好欢乐呀，您边跑边看热闹的这状态真好[偷笑R],2026.04.22,湖南,5.0,1,1,
69e44278000000001a0217bb,"strong,human","机器人超过我的瞬间

","今天参加亦庄半程马拉松，机器人跑的太快了，一会就超过我了，这是第6个超过我的机器人。 今天荣耀闪电突破50分钟完赛，比人快多了

",6019.0,372.0,252,491.0,69e73a840000000014019012,5a9f6953e8ac2b29ec03cf81,一听您就是浙江口音 好熟悉,2026.04.21,美国,1.0,3,1,
69e44278000000001a0217bb,"strong,human","机器人超过我的瞬间

","今天参加亦庄半程马拉松，机器人跑的太快了，一会就超过我了，这是第6个超过我的机器人。 今天荣耀闪电突破50分钟完赛，比人快多了

",6019.0,372.0,252,491.0,69e4e3310000000014018809,63175d43000000000f005598,“多年以后，面对机器人，人类回想起了它在马拉松超过自己的瞬间”,2026.04.19,上海,54.0,2,1,
69e44278000000001a0217bb,"strong,human","机器人超过我的瞬间

","今天参加亦庄半程马拉松，机器人跑的太快了，一会就超过我了，这是第6个超过我的机器人。 今天荣耀闪电突破50分钟完赛，比人快多了

",6019.0,372.0,252,491.0,69e596ed000000001401a41e,5d2c9d22000000001002e276,闪电呢？,2026.04.20,北京,1.0,3,1,
69e44278000000001a0217bb,"strong,human","机器人超过我的瞬间

","今天参加亦庄半程马拉松，机器人跑的太快了，一会就超过我了，这是第6个超过我的机器人。 今天荣耀闪电突破50分钟完赛，比人快多了

",6019.0,372.0,252,491.0,69f2c829000000002800b7a1,67bfff1b000000000e01e272,多么令人感动的视频啊！一瞬间泪目了🥹,2026.04.30,吉林,1.0,0,1,
