帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e4573a000000001401a417,,599fe7ce6a6a6917a03c4e09,您是生命的热烈，它是钢铁的进步[赞R],2026.04.19,北京,3905.0,33.0,19,成功|被超越者,成功,被超越者,4
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e47b6f000000001401940b,,640eef5400000000290130ae,你去超过它儿子[嘻嘻R],2026.04.19,浙江,1394.0,42.0,12,成功|被超越者,成功,被超越者,2
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e5bf73000000001401940a,,5af417c911be10381999484b,“机器人超过我了”莫名想哭 感受到了一代一代的托举 是人和人之间 也是人和机器人之间,2026.04.20,江西,93.0,6.0,42,成功|被超越者,成功,被超越者,13
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e497b1000000001401e034,,5c99831d0000000011008856,想想这玩意在战场上端着枪追你，慌不慌,2026.04.19,安徽,2.0,0.0,18,成功|被超越者,成功,被超越者,5
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e88206000000001401e421,,591622066a6a693a393e7ef2,大哥，看您这个视频好欢乐呀，您边跑边看热闹的这状态真好[偷笑R],2026.04.22,湖南,5.0,1.0,32,成功|被超越者,成功,被超越者,5
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e73a840000000014019012,,5a9f6953e8ac2b29ec03cf81,一听您就是浙江口音 好熟悉,2026.04.21,美国,1.0,3.0,13,成功|被超越者,成功,被超越者,4
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e4e3310000000014018809,,63175d43000000000f005598,“多年以后，面对机器人，人类回想起了它在马拉松超过自己的瞬间”,2026.04.19,上海,54.0,2.0,31,成功|被超越者,成功,被超越者,8
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69f2c829000000002800b7a1,,67bfff1b000000000e01e272,多么令人感动的视频啊！一瞬间泪目了�,2026.04.30,吉林,1.0,0.0,18,成功|被超越者,成功,被超越者,5
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e6f0dc000000001401d819,,5c96fe9a000000001602bb18,你可能不知道，多年以后这个视频，将成为人类的回忆，第一次机器人在马拉松比赛超越人类，拍的太好了,2026.04.21,广东,13.0,1.0,47,成功|被超越者,成功,被超越者,13
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e499d3000000001401dc0b,,622dac01000000000201f74f,这个赛道人类认输，建议下回比比照顾老人全套,2026.04.19,河北,35.0,7.0,21,成功|被超越者,成功,被超越者,9
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e4c709000000001401ac19,,5a25445311be1046d96b3d85,這個是哪家的什麼型號的機器人，跑的好帥啊啊啊[大笑R],2026.04.19,中国香港,3.0,2.0,27,成功|被超越者,成功,被超越者,7
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e47960000000001401e42c,,61bf4738000000001000cf2b,想到了以后万一被机器人追杀[捂脸R],2026.04.19,上海,6.0,1.0,18,成功|被超越者,成功,被超越者,4
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e7529f000000001401c036,,62f7a189000000001e01ca40,他跑一会儿就要散热了，你可以出汗hh,2026.04.21,上海,1.0,0.0,18,成功|被超越者,成功,被超越者,5
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e62ee1000000001401e839,,5d0c6c0f0000000011031c2c,哈哈哈哈哈哈哈哈哈我这几天刷了好多好多机器人视频 还是第一次刷到选手这边的视角哈哈哈哈哈哈,2026.04.20,广东,6.0,1.0,45,成功|被超越者,成功,被超越者,9
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e7789a0000000014019014,,633ffa5c000000001802a7b9,当年志愿军腿着翻越主峰，成功截住美军汽车轮子，你就明白机器人半马的重大意义了。,2026.04.21,北京,5.0,0.0,39,成功|被超越者,成功,被超越者,13
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e4647a000000001401bc13,,6122783a000000002002d11d,这个机器人在2。7公里处怼护栏上退赛,2026.04.19,北京,14.0,4.0,18,成功|被超越者,成功,被超越者,4
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e443c50000000014019c00,,5b49b1fef7e8b916796a619d,机器人跑姿不错[偷笑R]我是热崩了,2026.04.19,北京,9.0,4.0,17,成功|被超越者,成功,被超越者,3
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e9231f000000002b02482f,,615f989600000000020235c4,以后是不是都是机器人当兔子了？配速控制得稳稳的,2026.04.23,加拿大,1.0,0.0,23,成功|被超越者,成功,被超越者,6
